function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,512,10,29326,23075.7,22858.4,ns,,,,,,95.5078,1,1448
TestBloomFilterStringQuery,8,1000,512,10,13307,54895.3,53826.9,ns,,,,,,87.5,3,4328
TestBloomFilterStringQuery,64,1000,512,10,16157,48671,47042.1,ns,,,,,,4.49219,6,8656
TestBloomFilterStringQuery,512,1000,512,10,17785,38255.6,37872.6,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,10,19959,36358.5,36018,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,512,10,27368,25652.9,25470.5,ns,,,,,,55.8594,1,5912
TestBloomFilterStringQuery,8,4096,512,10,20261,34759.4,34720.9,ns,,,,,,27.9297,3,17728
TestBloomFilterStringQuery,64,4096,512,10,27592,25428.3,25357.8,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,10,28019,25142.2,25040.3,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,10,29022,24667.5,24581,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,10,33118,20801.4,20764.6,ns,,,,,,7.22656,1,47280
TestBloomFilterStringQuery,8,32768,512,10,32015,21795.1,21742.5,ns,,,,,,0.585938,3,141824
TestBloomFilterStringQuery,64,32768,512,10,32796,21519.9,21447.4,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,10,33785,20942.3,20828.3,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,10,33389,21221,21099.3,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,10,34472,20325.6,20214.2,ns,,,,,,0.976562,1,378200
TestBloomFilterStringQuery,8,262144,512,10,33622,21618.7,21536.8,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,512,10,31661,21363.8,21260.2,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,512,10,31990,22184.4,22074.5,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,512,10,31280,22349.7,22223.3,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,512,10,33859,20502.2,20461.1,ns,,,,,,0.585938,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,512,10,32984,21212.3,21147,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,512,10,31679,22255.6,22154.4,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,512,10,30294,23262.4,23125.1,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,512,10,29890,23583.8,23419.7,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,4096,10,4713,147762,147632,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,4096,10,2011,347390,347031,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,4096,10,1063,641981,641430,ns,,,,,,97.5586,6,8656
TestBloomFilterStringQuery,512,1000,4096,10,797,882006,880892,ns,,,,,,74.3896,9,12984
TestBloomFilterStringQuery,2048,1000,4096,10,721,969079,966706,ns,,,,,,60.1562,11,15872
TestBloomFilterStringQuery,2,4096,4096,10,4660,147752,147629,ns,,,,,,100,1,5912
TestBloomFilterStringQuery,8,4096,4096,10,2062,351357,351126,ns,,,,,,91.9434,3,17728
TestBloomFilterStringQuery,64,4096,4096,10,1574,445762,444992,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,4096,10,1944,348992,348664,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,4096,10,1817,387325,386224,ns,,,,,,2.22168,11,65008
TestBloomFilterStringQuery,2,32768,4096,10,3947,182248,180358,ns,,,,,,52.002,1,47280
TestBloomFilterStringQuery,8,32768,4096,10,2826,246036,244711,ns,,,,,,9.81445,3,141824
TestBloomFilterStringQuery,64,32768,4096,10,3869,178026,177290,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,4096,10,4229,165825,165203,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,4096,10,3820,181349,180890,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,4096,10,4794,146664,146363,ns,,,,,,7.76367,1,378200
TestBloomFilterStringQuery,8,262144,4096,10,4437,157071,156803,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,4096,10,4649,151465,151129,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,4096,10,4561,154500,154139,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,4096,10,4514,154194,153931,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,4096,10,4835,144155,144040,ns,,,,,,2.00195,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,4096,10,4369,159575,159340,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,4096,10,4412,158224,157955,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,4096,10,4387,159224,158955,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,4096,10,4349,161480,161185,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8192,10,2401,291120,290754,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,8192,10,1003,702879,702207,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,8192,10,537,1.29516e+06,1.29458e+06,ns,,,,,,100,6,8656
TestBloomFilterStringQuery,512,1000,8192,10,359,1.95223e+06,1.94883e+06,ns,,,,,,98.4985,9,12984
TestBloomFilterStringQuery,2048,1000,8192,10,299,2.37233e+06,2.3701e+06,ns,,,,,,95.3247,11,15872
TestBloomFilterStringQuery,2,4096,8192,10,2399,292077,291547,ns,,,,,,100,1,5912
TestBloomFilterStringQuery,8,4096,8192,10,1010,694323,693574,ns,,,,,,99.4873,3,17728
TestBloomFilterStringQuery,64,4096,8192,10,600,1.14577e+06,1.1433e+06,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8192,10,725,971373,970629,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8192,10,548,1.26373e+06,1.26248e+06,ns,,,,,,23.9014,11,65008
TestBloomFilterStringQuery,2,32768,8192,10,2213,318765,318462,ns,,,,,,77.2461,1,47280
TestBloomFilterStringQuery,8,32768,8192,10,1200,586891,586327,ns,,,,,,34.668,3,141824
TestBloomFilterStringQuery,64,32768,8192,10,1637,429618,429139,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8192,10,1831,399745,399226,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8192,10,1616,434888,434050,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8192,10,2306,303572,303268,ns,,,,,,15.8813,1,378200
TestBloomFilterStringQuery,8,262144,8192,10,2025,346789,346427,ns,,,,,,0.476074,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8192,10,2286,308111,307744,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8192,10,2257,310295,309762,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8192,10,2264,308754,308342,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8192,10,2420,288591,288231,ns,,,,,,4.73633,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8192,10,2170,328189,327841,ns,,,,,,0.012207,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8192,10,2233,312002,311598,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8192,10,2168,314016,313650,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8192,10,2188,320500,320045,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8,64,231698,3042.55,3039.89,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,64,229098,3038.77,3038.81,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,64,226447,3072.05,3069.81,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,64,227373,3077.45,3076.25,ns,,,,,,0,9,12984
