function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,512,10,41915,16720.3,16702.8,ns,,,,,,91.4062,1,1448
TestBloomFilterStringQuery,8,1000,512,10,19291,36296.5,36283.2,ns,,,,,,86.1328,3,4328
TestBloomFilterStringQuery,64,1000,512,10,21728,32236,32220.3,ns,,,,,,3.32031,6,8656
TestBloomFilterStringQuery,512,1000,512,10,24325,28807.8,28786.6,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,10,25274,27720,27698.6,ns,,,,,,1.75781,11,15872
TestBloomFilterStringQuery,2,4096,512,10,36866,19034,19019.4,ns,,,,,,50.1953,1,5912
TestBloomFilterStringQuery,8,4096,512,10,33813,20559.6,20544.8,ns,,,,,,20.7031,3,17728
TestBloomFilterStringQuery,64,4096,512,10,35672,19624.8,19609.1,ns,,,,,,0.585938,6,35456
TestBloomFilterStringQuery,512,4096,512,10,39782,17652.2,17630.7,ns,,,,,,0.195312,9,53184
TestBloomFilterStringQuery,2048,4096,512,10,36941,18975.9,18956.4,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,10,45155,15496.3,15482.5,ns,,,,,,7.03125,1,47280
TestBloomFilterStringQuery,8,32768,512,10,43106,16255.6,16231.9,ns,,,,,,0.976562,3,141824
TestBloomFilterStringQuery,64,32768,512,10,44768,15666.7,15634.9,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,10,44143,15895.3,15866.5,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,10,44388,15769,15743.1,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,10,46201,15162.7,15147.5,ns,,,,,,0.585938,1,378200
TestBloomFilterStringQuery,8,262144,512,10,45781,15340.2,15311.3,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,512,10,44157,15876.1,15834.2,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,512,10,43756,16070.9,16001.7,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,512,10,43059,16347.5,16288.9,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,512,10,45997,15234.5,15213.9,ns,,,,,,0.195312,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,512,10,44966,15588.4,15565.4,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,512,10,43334,16204.5,16164.7,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,512,10,41315,17017.7,16945,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,512,10,40408,17404.7,17324.8,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,4096,10,5707,122278,122270,ns,,,,,,100,1,1448
TestBloomFilterStringQuery,8,1000,4096,10,2414,289989,289976,ns,,,,,,100,3,4328
TestBloomFilterStringQuery,64,1000,4096,10,1910,365282,365273,ns,,,,,,49.7803,6,8656
TestBloomFilterStringQuery,512,1000,4096,10,962,726894,726881,ns,,,,,,74.8535,9,12984
TestBloomFilterStringQuery,2048,1000,4096,10,1999,350917,350885,ns,,,,,,25,11,15872
TestBloomFilterStringQuery,2,4096,4096,10,5785,120558,120545,ns,,,,,,99.8047,1,5912
TestBloomFilterStringQuery,8,4096,4096,10,4508,155288,155266,ns,,,,,,25,3,17728
TestBloomFilterStringQuery,64,4096,4096,10,3249,215496,215481,ns,,,,,,23.7549,6,35456
TestBloomFilterStringQuery,512,4096,4096,10,2632,265910,265892,ns,,,,,,19.8242,9,53184
TestBloomFilterStringQuery,2048,4096,4096,10,2417,289629,289603,ns,,,,,,2.02637,11,65008
TestBloomFilterStringQuery,2,32768,4096,10,5677,123273,123262,ns,,,,,,37.4756,1,47280
TestBloomFilterStringQuery,8,32768,4096,10,4621,151492,151473,ns,,,,,,19.0674,3,141824
TestBloomFilterStringQuery,64,32768,4096,10,5043,138860,138841,ns,,,,,,0.927734,6,283648
TestBloomFilterStringQuery,512,32768,4096,10,5326,131504,131480,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,4096,10,4695,149438,149404,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,4096,10,5831,120053,120039,ns,,,,,,10.0586,1,378200
TestBloomFilterStringQuery,8,262144,4096,10,5552,126144,126123,ns,,,,,,0.0732422,3,1.13458e+06
