function,inv_max_fpr,projected_eles,batch_size,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,8,32768,64,919,762592,762402,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,935,771568,771257,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,912,761589,761059,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,910,757004,756620,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,60000,64,950,758790,758499,ns,,,,,,0,1,86568
TestBloomFilterStringQuery,8,60000,64,916,764269,764001,ns,,,,,,0,3,259688
TestBloomFilterStringQuery,64,60000,64,944,758877,758608,ns,,,,,,0,6,519376
TestBloomFilterStringQuery,512,60000,64,937,769711,769225,ns,,,,,,0,9,779056
TestBloomFilterStringQuery,2048,60000,64,919,755552,755399,ns,,,,,,0,11,952184
TestBloomFilterStringQuery,2,4,512,108,6.38486e+06,6.38412e+06,ns,,,,,,100,1,8
TestBloomFilterStringQuery,8,4,512,108,6.39799e+06,6.39657e+06,ns,,,,,,100,3,24
TestBloomFilterStringQuery,64,4,512,110,6.5756e+06,6.573e+06,ns,,,,,,100,6,40
TestBloomFilterStringQuery,512,4,512,107,6.49659e+06,6.49495e+06,ns,,,,,,100,9,56
TestBloomFilterStringQuery,2048,4,512,107,6.46825e+06,6.46681e+06,ns,,,,,,100,11,64
TestBloomFilterStringQuery,2,8,512,109,6.35515e+06,6.35382e+06,ns,,,,,,100,1,16
TestBloomFilterStringQuery,8,8,512,109,6.46601e+06,6.46294e+06,ns,,,,,,100,3,40
TestBloomFilterStringQuery,64,8,512,109,6.45963e+06,6.45508e+06,ns,,,,,,100,6,72
TestBloomFilterStringQuery,512,8,512,107,6.53497e+06,6.5334e+06,ns,,,,,,100,9,104
TestBloomFilterStringQuery,2048,8,512,103,6.53719e+06,6.53623e+06,ns,,,,,,100,11,128
TestBloomFilterStringQuery,2,64,512,110,6.36373e+06,6.36297e+06,ns,,,,,,98.6328,1,96
TestBloomFilterStringQuery,8,64,512,113,6.40456e+06,6.40183e+06,ns,,,,,,98.0469,3,280
TestBloomFilterStringQuery,64,64,512,112,6.42238e+06,6.42162e+06,ns,,,,,,100,6,560
TestBloomFilterStringQuery,512,64,512,105,6.50278e+06,6.50194e+06,ns,,,,,,96.0938,9,832
TestBloomFilterStringQuery,2048,64,512,106,6.56585e+06,6.56461e+06,ns,,,,,,93.75,11,1016
TestBloomFilterStringQuery,2,512,512,107,6.32036e+06,6.3193e+06,ns,,,,,,51.9531,1,744
TestBloomFilterStringQuery,8,512,512,108,6.57608e+06,6.57326e+06,ns,,,,,,16.2109,3,2216
TestBloomFilterStringQuery,64,512,512,107,6.5477e+06,6.54335e+06,ns,,,,,,2.14844,6,4432
TestBloomFilterStringQuery,512,512,512,110,6.45859e+06,6.45569e+06,ns,,,,,,0,9,6648
TestBloomFilterStringQuery,2048,512,512,109,6.37648e+06,6.37527e+06,ns,,,,,,0,11,8128
TestBloomFilterStringQuery,2,4096,512,104,6.48562e+06,6.48375e+06,ns,,,,,,8.00781,1,5912
TestBloomFilterStringQuery,8,4096,512,108,6.53004e+06,6.5287e+06,ns,,,,,,0.195312,3,17728
TestBloomFilterStringQuery,64,4096,512,112,6.43206e+06,6.43055e+06,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,106,6.35471e+06,6.35369e+06,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,107,6.40143e+06,6.39626e+06,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,107,6.51266e+06,6.50966e+06,ns,,,,,,1.17188,1,47280
TestBloomFilterStringQuery,8,32768,512,106,6.3982e+06,6.39606e+06,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,512,108,6.40298e+06,6.40256e+06,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,108,7.36556e+06,6.93206e+06,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,104,6.4434e+06,6.44162e+06,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,60000,512,108,6.4555e+06,6.45443e+06,ns,,,,,,0.585938,1,86568
TestBloomFilterStringQuery,8,60000,512,110,6.43511e+06,6.43272e+06,ns,,,,,,0,3,259688
TestBloomFilterStringQuery,64,60000,512,108,6.44025e+06,6.43916e+06,ns,,,,,,0,6,519376
TestBloomFilterStringQuery,512,60000,512,108,6.54749e+06,6.545e+06,ns,,,,,,0,9,779056
TestBloomFilterStringQuery,2048,60000,512,113,6.4942e+06,6.49279e+06,ns,,,,,,0,11,952184
TestBloomFilterStringQuery,2,4,4096,14,5.18649e+07,5.18579e+07,ns,,,,,,100,1,8
TestBloomFilterStringQuery,8,4,4096,12,5.25685e+07,5.25486e+07,ns,,,,,,100,3,24
TestBloomFilterStringQuery,64,4,4096,14,5.28673e+07,5.28578e+07,ns,,,,,,100,6,40
TestBloomFilterStringQuery,512,4,4096,13,5.34228e+07,5.34073e+07,ns,,,,,,100,9,56
TestBloomFilterStringQuery,2048,4,4096,13,5.37843e+07,5.37462e+07,ns,,,,,,100,11,64
TestBloomFilterStringQuery,2,8,4096,14,5.21776e+07,5.21679e+07,ns,,,,,,100,1,16
