2019-11-18 16:28:01
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 6.71, 4.42, 3.96
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/4096",325,2.02996e+06,1.97833e+06,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/4096",354,2.11736e+06,1.98829e+06,ns,,,,,,0,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/4096",325,2.35329e+06,2.22135e+06,ns,,,,,,0,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/4096",361,2.21158e+06,2.11384e+06,ns,,,,,,0,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/4096",341,2.04369e+06,1.99983e+06,ns,,,,,,0,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/4096",356,2.08294e+06,1.96265e+06,ns,,,,,,0,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/4096",350,2.61336e+06,2.58363e+06,ns,,,,,,0,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/4096",225,2.65421e+06,2.45121e+06,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/4096",277,2.43564e+06,2.36863e+06,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/4096",308,2.21228e+06,2.15129e+06,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/4096",326,2.2142e+06,2.12334e+06,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/4096",329,2.44345e+06,2.33438e+06,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/4096",324,2.31213e+06,2.22318e+06,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/4096",307,2.21219e+06,2.20504e+06,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/4096",312,2.47172e+06,2.37255e+06,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/4096",317,2.44517e+06,2.39924e+06,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/4096",290,2.42085e+06,2.23155e+06,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/4096",318,2.30489e+06,2.2696e+06,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/4096",294,2.4105e+06,2.3586e+06,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/4096",292,2.30404e+06,2.301e+06,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/4096",296,2.35113e+06,2.34527e+06,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/4096",268,2.35461e+06,2.2708e+06,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/4096",302,2.44189e+06,2.38267e+06,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/32768",47,1.47698e+07,1.46517e+07,ns,,,,,,65.5304,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/32768",44,1.70842e+07,1.6072e+07,ns,,,,,,48.9716,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/32768",41,2.47655e+07,2.33753e+07,ns,,,,,,37.149,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/32768",39,1.90741e+07,1.88277e+07,ns,,,,,,26.9806,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/32768",14,4.29733e+07,4.16138e+07,ns,,,,,,24.3744,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/32768",23,2.82878e+07,2.81511e+07,ns,,,,,,9.8938,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/32768",20,2.7821e+07,2.54464e+07,ns,,,,,,1.53198,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/32768",38,1.63816e+07,1.60407e+07,ns,,,,,,0.186157,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/32768",48,1.57276e+07,1.55221e+07,ns,,,,,,0.0213623,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/32768",47,1.54102e+07,1.4872e+07,ns,,,,,,0.012207,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/32768",54,1.37383e+07,1.35668e+07,ns,,,,,,0.0549316,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/32768",51,1.39213e+07,1.37208e+07,ns,,,,,,0,6,2.26917e+06
"MyFixtureLearned/TestBloomFilterStringQuery/512/262144/32768",47,1.39509e+07,1.39311e+07,ns,,,,,,0,9,3.40374e+06
"MyFixtureLearned/TestBloomFilterStringQuery/4096/262144/32768",49,1.41466e+07,1.41303e+07,ns,,,,,,0,12,4.53833e+06
"MyFixtureLearned/TestBloomFilterStringQuery/8192/262144/32768",50,1.42866e+07,1.42638e+07,ns,,,,,,0,13,4.91652e+06
"MyFixtureLearned/TestBloomFilterStringQuery/10/2097152/32768",49,1.45651e+07,1.45068e+07,ns,,,,,,0,3,1.00838e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/2097152/32768",47,1.48848e+07,1.48714e+07,ns,,,,,,0,6,1.81533e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/2097152/32768",46,1.49039e+07,1.48889e+07,ns,,,,,,0,9,2.723e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/2097152/32768",45,1.55084e+07,1.54928e+07,ns,,,,,,0,12,3.63066e+07
"MyFixtureLearned/TestBloomFilterStringQuery/8192/2097152/32768",45,1.55358e+07,1.55048e+07,ns,,,,,,0,13,3.93322e+07
"MyFixtureLearned/TestBloomFilterStringQuery/10/16777216/32768",45,1.59038e+07,1.58652e+07,ns,,,,,,0,3,8.06704e+07
"MyFixtureLearned/TestBloomFilterStringQuery/64/16777216/32768",42,1.68899e+07,1.67618e+07,ns,,,,,,0,6,1.45226e+08
"MyFixtureLearned/TestBloomFilterStringQuery/512/16777216/32768",35,1.58627e+07,1.57945e+07,ns,,,,,,0,9,2.1784e+08
"MyFixtureLearned/TestBloomFilterStringQuery/4096/16777216/32768",45,1.57063e+07,1.56745e+07,ns,,,,,,0,12,2.90453e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/16777216/32768",41,1.63e+07,1.62581e+07,ns,,,,,,0,13,3.14657e+08
"MyFixtureLearned/TestBloomFilterStringQuery/10/134217728/32768",42,1.65184e+07,1.64765e+07,ns,,,,,,0,3,6.45363e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/134217728/32768",42,1.68452e+07,1.67627e+07,ns,,,,,,0,6,1.16181e+09
"MyFixtureLearned/TestBloomFilterStringQuery/512/134217728/32768",39,1.64687e+07,1.64552e+07,ns,,,,,,0,9,1.74272e+09
"MyFixtureLearned/TestBloomFilterStringQuery/4096/134217728/32768",43,1.64646e+07,1.64513e+07,ns,,,,,,0,12,-1.97134e+09
"MyFixtureLearned/TestBloomFilterStringQuery/8192/134217728/32768",41,1.63249e+07,1.63176e+07,ns,,,,,,0,13,-1.77771e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/1000000000/32768",42,1.67804e+07,1.67738e+07,ns,,,,,,0,3,5.1336e+08
"MyFixtureLearned/TestBloomFilterStringQuery/64/1000000000/32768",41,1.70228e+07,1.69671e+07,ns,,,,,,0,6,6.62357e+07
"MyFixtureLearned/TestBloomFilterStringQuery/512/1000000000/32768",41,1.69302e+07,1.69208e+07,ns,,,,,,0,9,9.93535e+07
"MyFixtureLearned/TestBloomFilterStringQuery/4096/1000000000/32768",42,1.66054e+07,1.65976e+07,ns,,,,,,0,12,1.32471e+08
"MyFixtureLearned/TestBloomFilterStringQuery/8192/1000000000/32768",41,1.6931e+07,1.69244e+07,ns,,,,,,0,13,1.57517e+09
"MyFixtureLearned/TestBloomFilterStringQuery/10/10000/131072",8,6.50427e+07,6.49613e+07,ns,,,,,,99.8787,3,48088
"MyFixtureLearned/TestBloomFilterStringQuery/64/10000/131072",10,7.0437e+07,7.04102e+07,ns,,,,,,99.9535,6,86568
"MyFixtureLearned/TestBloomFilterStringQuery/512/10000/131072",9,8.76552e+07,8.73653e+07,ns,,,,,,99.9039,9,129848
"MyFixtureLearned/TestBloomFilterStringQuery/4096/10000/131072",7,9.12009e+07,9.11326e+07,ns,,,,,,99.897,12,173128
"MyFixtureLearned/TestBloomFilterStringQuery/8192/10000/131072",7,9.33698e+07,9.32993e+07,ns,,,,,,99.8642,13,187552
"MyFixtureLearned/TestBloomFilterStringQuery/10/32768/131072",11,6.34894e+07,6.34551e+07,ns,,,,,,76.976,3,157560
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/131072",10,7.14087e+07,7.13538e+07,ns,,,,,,67.9001,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/131072",9,8.27236e+07,8.21462e+07,ns,,,,,,56.1913,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/4096/32768/131072",8,8.11103e+07,8.10489e+07,ns,,,,,,46.0594,12,567296
"MyFixtureLearned/TestBloomFilterStringQuery/8192/32768/131072",8,8.35216e+07,8.3486e+07,ns,,,,,,43.409,13,614568
"MyFixtureLearned/TestBloomFilterStringQuery/10/262144/131072",12,5.785e+07,5.78194e+07,ns,,,,,,1.94778,3,1.26048e+06
"MyFixtureLearned/TestBloomFilterStringQuery/64/262144/131072",12,6.16395e+07,6.1586e+07,ns,,,,,,0.0724792,6,2.26917e+06
