2020-03-09 20:40:53
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 2.43, 2.61, 2.40
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","num_hashes","table_size"
"MyFixtureLearned/TestBloomFilterStringQuery/2/64/64",38,1.84281e+07,1.83914e+07,ns,,,,,,4.6875,1,96
"MyFixtureLearned/TestBloomFilterStringQuery/8/64/64",36,2.12703e+07,2.10867e+07,ns,,,,,,3.125,3,280
"MyFixtureLearned/TestBloomFilterStringQuery/64/64/64",30,1.89024e+07,1.88544e+07,ns,,,,,,3.125,6,560
"MyFixtureLearned/TestBloomFilterStringQuery/512/64/64",35,2.10752e+07,2.10039e+07,ns,,,,,,3.125,9,832
"MyFixtureLearned/TestBloomFilterStringQuery/2048/64/64",35,2.0173e+07,2.00792e+07,ns,,,,,,3.125,11,1016
"MyFixtureLearned/TestBloomFilterStringQuery/2/512/64",32,1.90918e+07,1.90657e+07,ns,,,,,,4.6875,1,744
"MyFixtureLearned/TestBloomFilterStringQuery/8/512/64",38,2.02929e+07,2.01779e+07,ns,,,,,,3.125,3,2216
"MyFixtureLearned/TestBloomFilterStringQuery/64/512/64",36,1.99181e+07,1.98233e+07,ns,,,,,,3.125,6,4432
"MyFixtureLearned/TestBloomFilterStringQuery/512/512/64",39,2.11142e+07,2.10204e+07,ns,,,,,,3.125,9,6648
"MyFixtureLearned/TestBloomFilterStringQuery/2048/512/64",34,1.96483e+07,1.95856e+07,ns,,,,,,3.125,11,8128
"MyFixtureLearned/TestBloomFilterStringQuery/2/4096/64",29,2.09542e+07,2.08742e+07,ns,,,,,,3.125,1,5912
"MyFixtureLearned/TestBloomFilterStringQuery/8/4096/64",36,1.91482e+07,1.91032e+07,ns,,,,,,3.125,3,17728
"MyFixtureLearned/TestBloomFilterStringQuery/64/4096/64",31,1.86049e+07,1.85766e+07,ns,,,,,,3.125,6,35456
"MyFixtureLearned/TestBloomFilterStringQuery/512/4096/64",35,2.069e+07,2.05959e+07,ns,,,,,,3.125,9,53184
"MyFixtureLearned/TestBloomFilterStringQuery/2048/4096/64",32,2.19811e+07,2.1714e+07,ns,,,,,,3.125,11,65008
"MyFixtureLearned/TestBloomFilterStringQuery/2/32768/64",36,2.03474e+07,2.02395e+07,ns,,,,,,3.125,1,47280
"MyFixtureLearned/TestBloomFilterStringQuery/8/32768/64",37,1.97918e+07,1.96896e+07,ns,,,,,,3.125,3,141824
"MyFixtureLearned/TestBloomFilterStringQuery/64/32768/64",31,2.07776e+07,2.06624e+07,ns,,,,,,3.125,6,283648
"MyFixtureLearned/TestBloomFilterStringQuery/512/32768/64",38,1.87988e+07,1.87746e+07,ns,,,,,,3.125,9,425472
"MyFixtureLearned/TestBloomFilterStringQuery/2048/32768/64",34,2.0207e+07,2.00979e+07,ns,,,,,,3.125,11,520016
"MyFixtureLearned/TestBloomFilterStringQuery/2/60000/64",36,2.04573e+07,2.03292e+07,ns,,,,,,3.125,1,86568
"MyFixtureLearned/TestBloomFilterStringQuery/8/60000/64",34,2.10405e+07,2.06889e+07,ns,,,,,,3.125,3,259688
"MyFixtureLearned/TestBloomFilterStringQuery/64/60000/64",38,1.8599e+07,1.85742e+07,ns,,,,,,3.125,6,519376
"MyFixtureLearned/TestBloomFilterStringQuery/512/60000/64",32,2.45679e+07,2.40349e+07,ns,,,,,,3.125,9,779056
"MyFixtureLearned/TestBloomFilterStringQuery/2048/60000/64",39,1.85834e+07,1.85462e+07,ns,,,,,,3.125,11,952184
