2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/1/8",1,4.85052e+09,4.84572e+09,ns,,,,,,7.46681,88628,4,68608,0.0482793,0.45
"MyFixtureLearned/TestBloomFilterStringQuery/1/9",1,4.85366e+09,4.84924e+09,ns,,,,,,7.16261,88628,4,68608,0.0482793,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/1/10",1,4.88382e+09,4.87849e+09,ns,,,,,,6.6556,88628,4,68608,0.0482793,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/1/11",1,4.67603e+09,4.6733e+09,ns,,,,,,5.89049,88628,4,68608,0.0482793,0.525
"MyFixtureLearned/TestBloomFilterStringQuery/1/12",1,5.42769e+09,5.41472e+09,ns,,,,,,6.01954,88628,4,68608,0.0482793,0.55
"MyFixtureLearned/TestBloomFilterStringQuery/1/13",1,4.97072e+09,4.96465e+09,ns,,,,,,5.57706,88628,4,68608,0.0482793,0.575
"MyFixtureLearned/TestBloomFilterStringQuery/1/14",1,4.96673e+09,4.95837e+09,ns,,,,,,4.67367,88628,4,68608,0.0482793,0.6
"MyFixtureLearned/TestBloomFilterStringQuery/1/15",1,4.95436e+09,4.94976e+09,ns,,,,,,5.18068,88628,4,68608,0.0482793,0.625
"MyFixtureLearned/TestBloomFilterStringQuery/1/16",1,4.74048e+09,4.73732e+09,ns,,,,,,4.20354,88628,4,68608,0.0482793,0.65
"MyFixtureLearned/TestBloomFilterStringQuery/1/17",1,4.90271e+09,4.89774e+09,ns,,,,,,4.37869,88628,4,68608,0.0482793,0.675
"MyFixtureLearned/TestBloomFilterStringQuery/1/18",1,5.0002e+09,4.96005e+09,ns,,,,,,4.05605,88628,4,68608,0.0482793,0.7
"MyFixtureLearned/TestBloomFilterStringQuery/1/19",1,4.7841e+09,4.77997e+09,ns,,,,,,4.01917,88628,4,68608,0.0482793,0.725
"MyFixtureLearned/TestBloomFilterStringQuery/1/20",1,4.80695e+09,4.80249e+09,ns,,,,,,3.91777,88628,4,68608,0.0482793,0.75
"MyFixtureLearned/TestBloomFilterStringQuery/1/21",1,4.76989e+09,4.76512e+09,ns,,,,,,3.54904,88628,4,68608,0.0482793,0.775
"MyFixtureLearned/TestBloomFilterStringQuery/1/22",1,4.78624e+09,4.78226e+09,ns,,,,,,3.45686,88628,4,68608,0.0482793,0.8
"MyFixtureLearned/TestBloomFilterStringQuery/1/23",1,4.80312e+09,4.76446e+09,ns,,,,,,3.15265,88628,4,68608,0.0482793,0.825
"MyFixtureLearned/TestBloomFilterStringQuery/1/24",1,4.83268e+09,4.80981e+09,ns,,,,,,2.87611,88628,4,68608,0.0482793,0.85
"MyFixtureLearned/TestBloomFilterStringQuery/1/25",1,4.79107e+09,4.78653e+09,ns,,,,,,2.64565,88628,4,68608,0.0482793,0.875
"MyFixtureLearned/TestBloomFilterStringQuery/1/26",1,4.73142e+09,4.72865e+09,ns,,,,,,2.35988,88628,4,68608,0.0482793,0.9
